domain_id,domain_name,role_family_id,role_family_name,target_role_id,target_role_name,competency_focus
domain_information_technology,Information & Technology,family_data_ai,Data & AI,role_data_analyst,Data Analyst,"Data visualization, business reporting, SQL proficiency."
domain_information_technology,Information & Technology,family_data_ai,Data & AI,role_data_scientist,Data Scientist,"Statistical modeling, Python, machine learning algorithms."
domain_information_technology,Information & Technology,family_data_ai,Data & AI,role_ai_engineer,AI Engineer,"Deep learning, neural network architecture, model training."
domain_information_technology,Information & Technology,family_data_ai,Data & AI,role_ml_engineer,ML Engineer,"MLOps pipeline, scalable model deployment, Docker."
domain_information_technology,Information & Technology,family_infra_cloud_security,"Infrastructure, Cloud & Security",role_cloud_engineer,Cloud Engineer,"Cloud architecture (AWS/GCP), resource provisioning."
domain_information_technology,Information & Technology,family_infra_cloud_security,"Infrastructure, Cloud & Security",role_devops_engineer,DevOps Engineer,"CI/CD automation, infrastructure-as-code, Linux."
domain_information_technology,Information & Technology,family_infra_cloud_security,"Infrastructure, Cloud & Security",role_cybersecurity_analyst,Cybersecurity Analyst,"Threat detection, incident response, vulnerability assessment."
domain_information_technology,Information & Technology,family_web_development,Web Development,role_frontend_developer,Frontend Developer,"React.js, UI/UX integration, responsive design."
domain_information_technology,Information & Technology,family_web_development,Web Development,role_backend_developer,Backend Developer,"RESTful API, Node.js, database management."
domain_information_technology,Information & Technology,family_web_development,Web Development,role_full_stack_developer,Full Stack Developer,"End-to-end system integration, full-cycle development."
domain_information_technology,Information & Technology,family_mobile_development,Mobile Development,role_android_developer,Android Developer,"Kotlin/Android SDK, mobile UI optimization."
domain_information_technology,Information & Technology,family_mobile_development,Mobile Development,role_ios_developer,iOS Developer,"Swift/iOS SDK, Apple ecosystem integration."
domain_information_technology,Information & Technology,family_mobile_development,Mobile Development,role_mobile_developer,Mobile Developer,"Flutter/React Native, cross-platform architecture."
domain_information_technology,Information & Technology,family_software_tester,Software Tester,role_manual_qa_tester,Manual QA Tester,"Test case design, manual testing, bug reporting."
domain_information_technology,Information & Technology,family_software_tester,Software Tester,role_qa_automation_engineer,QA Automation Engineer,"Selenium/Cypress automation, API testing."
domain_information_technology,Information & Technology,family_software_tester,Software Tester,role_software_tester,Software Tester,"QA lifecycle, performance testing, test planning."
